# Alpha-visibility reporter: 
# D_DZ	Ra	uncert	alpha	uncert	volume_dbdz	uncert	volume_dbdzsq	uncert
1.7433333333333333334e-08	0.0034570490207588734261	3.6944503002548746951e-06	0.92204378778578531648	0.0014407519098198871918	2.280411675176195259e-09	1.1369831840240370108e-11	1.3480611351519486737e-16	2.4668250488486448376e-19
1.7733333333333333333e-08	0.0034695937636226033704	1.2381328604156031904e-06	0.9127445377276509171	0.0001587715045076144655	2.5837257459712065851e-09	1.1360209006230854339e-11	1.3577960448518662581e-16	2.4068231789041435101e-19
1.808e-08	0.0034877263195863442922	1.2160965006105559379e-06	0.91540145026964445183	0.00015505028359265945819	2.9242665658339266788e-09	1.1384142256645393795e-11	1.3800840262665893877e-16	2.3736000099791987719e-19
1.8400000000000000001e-08	0.0035090545582923300964	3.5075265375360607502e-06	0.92959783762710006038	0.0013118719224734904619	3.2393592456969305726e-09	1.1359883860288290308e-11	1.3993417756690383574e-16	2.3255332210719270883e-19
1.8426666666666666667e-08	0.003509271480227533173	1.2811751733573386258e-06	0.90678417454102315032	0.00016848541088057241952	3.2687192650042145802e-09	1.1370536586489567918e-11	1.402276648688115587e-16	2.3257143916799852003e-19
1.8773333333333333333e-08	0.0035261686621677010203	1.2311716326052952954e-06	0.91350315876665641121	0.00015753665513751467942	3.6128937627741557502e-09	1.1384694810916980171e-11	1.4257882087621644689e-16	2.2873593901792449415e-19
1.912e-08	0.0035447535268051063492	1.235643949864280287e-06	0.91316072205407385797	0.00015782264861586157271	3.9553830753427984626e-09	1.1382498935655560559e-11	1.448939425777813032e-16	2.2302623833990736848e-19
1.9366666666666666668e-08	0.0035505242766569968615	3.9753536382336445754e-06	0.91104610348115271784	0.0016184312977695506887	4.1962814748752603644e-09	1.1391968466217494037e-11	1.4701197170328978038e-16	2.20832230495450314e-19
1.9466666666666666667e-08	0.003565055424523137425	1.2167333303234288834e-06	0.9150256409165222449	0.00015549862733031107813	4.2956317204258399677e-09	1.1385677340300296706e-11	1.4795316961052858903e-16	2.2023498305429851956e-19
1.9813333333333333333e-08	0.0035857677786058973883	1.2408686322707333301e-06	0.9121264560091780379	0.00015981659032964368629	4.6353374709249132726e-09	1.1392472520458608261e-11	1.5096893914929004628e-16	2.1651261745599905177e-19
2.016e-08	0.0036023592402431479137	1.1803224263009035532e-06	0.92062844575558333072	0.00014576156455736194224	5.0071193353116990286e-09	1.137367199339873347e-11	1.545886778446361964e-16	2.1366910346103957601e-19
2.0333333333333333334e-08	0.0036084046656210839594	3.5576784070325856957e-06	0.92684796090529354083	0.0013700485916546290361	5.1575881100660891124e-09	1.1390510224373894328e-11	1.5641354638653733668e-16	2.1181260807997772561e-19
2.0506666666666666667e-08	0.0036214638177328217413	1.1661599760876992225e-06	0.92166418199174257353	0.00014418739250183603588	5.3574779490638032369e-09	1.136072008474257933e-11	1.5779833179760834357e-16	2.0952473366339069882e-19
2.0853333333333333333e-08	0.0036419322600525062202	1.2225770112821776826e-06	0.91499975904416184781	0.00015508895785526699733	5.6656128548881728435e-09	1.1392481709013789487e-11	1.6214122968576502719e-16	2.0791627675846460372e-19
2.12e-08	0.0036607111118876523683	1.2882780093681716942e-06	0.90507805501049114904	0.00017214651669336782122	6.0505559159242666562e-09	1.1382865666365817925e-11	1.6598986240260853485e-16	2.0447495437417070674e-19
2.1299999999999999999e-08	0.0036669993934370486327	1.1878662296995370876e-06	0.91874916151565284194	0.00014943013029461818912	6.1568707880404628374e-09	1.1369176981922536996e-11	1.6704708111776994582e-16	2.0267745479955191661e-19
2.1300000000000000001e-08	0.0036693534657257617712	4.0515530185615380814e-06	0.9074471605576137809	0.0016824197777834455521	6.135013079840675334e-09	1.1388411853030625192e-11	1.6718500140221447554e-16	2.0322239752437526428e-19
2.1546666666666666667e-08	0.0036806306069922852085	1.2267681655910086634e-06	0.91378783324847843869	0.00015741963645789950341	6.3908731249531162339e-09	1.1373128675979570769e-11	1.6993000152594493973e-16	2.0157921791729833555e-19
2.1893333333333333334e-08	0.0036970575887364975695	1.2154868125254652997e-06	0.91471763129847136897	0.00015666710929268964004	6.7262802350996847332e-09	1.1378255418489380207e-11	1.7493763132770144527e-16	1.995595477308606627e-19
2.224e-08	0.0037200253228252000272	1.2206317849406903725e-06	0.91450599095622140436	0.00015671839251282277926	7.0678793640927289146e-09	1.1378281135174999768e-11	1.7963449044275710897e-16	1.9758132885976423313e-19
2.2266666666666666667e-08	0.0037229118758992812602	3.4207049676934018629e-06	0.93242067522111863888	0.0012698255492540825251	7.0987606504039579232e-09	1.1391531625639706397e-11	1.7984350464782716958e-16	1.9841672104794162601e-19
2.2586666666666666667e-08	0.0037351417598741950877	1.2311324500236070602e-06	0.91302747575136644165	0.00015892616775400375539	7.4461143989001576432e-09	1.1365320716441633945e-11	1.8443728071203472453e-16	1.9536605669120208946e-19
2.2933333333333333334e-08	0.0037517381130121225287	1.2393363694431445805e-06	0.91211497193652893168	0.00016038939197606669583	7.7674806074642688918e-09	1.1382097651077408719e-11	1.9017039529632854965e-16	1.954920122456330895e-19
2.3233333333333333333e-08	0.0037741517984892611083	3.3775843185932044444e-06	0.93453125613388715153	0.0012243144588636568012	8.062913154665879816e-09	1.1393886508716622064e-11	1.9455260621074647376e-16	1.9394415175488156797e-19
2.328e-08	0.0037732952107849143617	1.2389711490636033632e-06	0.91260195365035260339	0.00015911985952661079614	8.0975672243894345997e-09	1.1394557331687699607e-11	1.9539431503301579504e-16	1.9420498945020150472e-19
2.3626666666666666667e-08	0.0037905979729279010779	1.2733213210796980106e-06	0.90734189823022288302	0.00016816832876518440486	8.4597709124407174461e-09	1.1392229510120171253e-11	2.0134581649552896247e-16	1.9325238930821685932e-19
2.3973333333333333334e-08	0.0038140681708758852603	1.2768399520854835632e-06	0.90739535448234151261	0.00016806996907658466359	8.8089313999194634729e-09	1.1383666912199596697e-11	2.0692712652155192511e-16	1.9265946862718130639e-19
2.42e-08	0.0038210955466836086699	4.2052633098848591643e-06	0.899259501561519482	0.0018355677539096021362	9.0352161745955889099e-09	1.1360824780501945774e-11	2.1134163508200109343e-16	1.9295639281317072804e-19
2.432e-08	0.0038323740558061500055	1.3353172053919759424e-06	0.90078951274676462345	0.00017742324638581108853	9.1534164009399402318e-09	1.1372065777014448386e-11	2.132515394515230385e-16	1.9307068573820574684e-19
2.4666666666666666667e-08	0.0038520487098626182777	1.2840190407076262654e-06	0.90685273940201252063	0.0001687329540456442963	9.5249204011315835924e-09	1.1366261443382636792e-11	2.2019193118586824448e-16	1.9344580698426428274e-19
2.5013333333333333334e-08	0.003867610455330737529	1.2949950912393669394e-06	0.90566316263987949086	0.00017028259996726942543	9.8454774140371150174e-09	1.1390674884512727962e-11	2.264829712558897951e-16	1.9359634880653499448e-19
2.5166666666666666666e-08	0.0038786203114274488065	3.7731209129963261227e-06	0.91950010097564036619	0.0014744075095173712848	1.0006052804006544899e-08	1.1381425490839661435e-11	2.294384285417483726e-16	1.9420440271039600318e-19
2.536e-08	0.0038903783241885570642	1.3341516814386898389e-06	0.90093373015414211769	0.00017788274784404150827	1.0198795697844695718e-08	1.1373338063131712779e-11	2.3362947056673667014e-16	1.94986568384272337e-19
2.5706666666666666666e-08	0.0039073253077920281859	1.362049050651623216e-06	0.8977249802970092233	0.00018298727828254576843	1.053160107293865934e-08	1.1398200116018439776e-11	2.4070213724984433621e-16	1.9625891953745710013e-19
2.6053333333333333334e-08	0.0039283261668789982935	1.3909644878971966136e-06	0.89075515984809765647	0.00019496447560481615255	1.0885232380539173537e-08	1.1371170180638843776e-11	2.4801739711294856527e-16	1.9797687233098212351e-19
2.6133333333333333334e-08	0.0039188750122167645473	4.6983437797765964999e-06	0.87759503480220236391	0.0021675679487464682564	1.0969585610146873136e-08	1.1381879007747764793e-11	2.4995019038459416423e-16	1.9850346582195176251e-19
2.6249999999999999998e-08	0.0039358202517964884531	1.3676225647543984946e-06	0.8948446021671159105	0.00018824512546925186439	1.1069804809992833273e-08	1.1395922563921751277e-11	2.5207417177746989765e-16	1.9905309980905766062e-19
2.7100000000000000002e-08	0.0039849466711733908433	4.4286700773641328119e-06	0.88886065751945972314	0.002003493765237654938	1.1942833950149798281e-08	1.138571989198279668e-11	2.7253203182156898862e-16	2.0495311650541150126e-19
2.8066666666666666668e-08	0.0040332686639742098713	4.4227949625722245984e-06	0.89044078408561402519	0.0019619485223245531519	1.289786450001157031e-08	1.1386581445132574338e-11	2.9604464418376420411e-16	2.125910529382280422e-19
2.9033333333333333334e-08	0.0040831922226872825418	4.9290604581941747966e-06	0.86972454001928080472	0.0022475799128317663452	1.3860759150004343417e-08	1.1385697736585920171e-11	3.2148979347794320537e-16	2.2288545120941266822e-19
3.1199999999999999999e-08	0.0042081998993588710291	1.7320239581884852571e-06	0.85131940389653423232	0.00026005029889385935922	1.6020288929518737726e-08	1.1392880086328473738e-11	3.8689770482028867865e-16	2.5120587300451078093e-19
3.6149999999999999995e-08	0.0044809228250832142325	2.0291268417126874657e-06	0.80383155027990221695	0.00032485944771487913841	2.0991693294760551942e-08	1.1378041628799518511e-11	5.7004432837184495224e-16	3.3521772651731385145e-19
4.1099999999999999998e-08	0.0047499377056134039004	2.5988972834681746288e-06	0.72040034924556628233	0.00045090420975935373797	2.5932029964491035776e-08	1.1380543920939049631e-11	8.0204882884289839354e-16	4.3158547734265209263e-19
4.6050000000000000001e-08	0.0050252913004567461885	3.1194665717782266062e-06	0.66016054075808305195	0.00057007381581987267859	3.0894876827931703524e-08	1.1390913800546949529e-11	1.0834446766795016942e-15	5.3541550299070842765e-19
5.0999999999999999997e-08	0.0052980420148021496769	3.431563620692510603e-06	0.58015407685064222462	0.00064051578130445532372	3.5829593678316962961e-08	1.138244864688605558e-11	1.4127146628163911976e-15	6.4120896909113239053e-19
